Tags,Type,Objective,Description,Location,Mitre,InitialScore
"[CORPORATION,HONEYTOKEN,RANSOMWARE,DATA_LEAKS,IMPACT]",File Honeytoken.,Detect ransomware execution.,"Hidden files (so they are not accessed by users) scattered in various locations. The files should be named in a way that they are the first files in the directory. Any interaction with the files should be monitored, and the process that accessed the files stopped. ",File directories or network shares. ,"Exfiltration, Impact ",70
"[CORPORATION,HONEYTOKEN,DATABASE_EMPLOYEE,DATA_LEAKS,IMPACT]",Database Honeytoken.,Detect employee-sensitive information exfiltration. ,"A decoy record within the employee HR database mimicking personally identifiable sensitive information (e.g. SSN, ID, etc.). The decoy is meant to attract unauthorized access attempts, allowing security teams to detect malicious exfiltration activity. Any interaction with the fake data should be logged and analyzed to prevent data breaches.",Inside a database.,Exfiltration,70
"[CORPORATION,HONEYTOKEN,LATERAL_MOVEMENT]",User Honeytoken.,Detect threat actors inside the network performing lateral movement. ,"A decoy user inside the directory services. The username must entice the attacker's interaction. It could be a name like ""db_admin"" or similar. Any logging attempt must be monitored, and the source must investigated and blocked, as it could be a threat actor. ",Directory services.,Lateral Movement,50
"[CORPORATION,HONEYTOKEN,WEB_SERVICES,INITIAL_ACCESS]",URL Honeytoken.,Detect threat actors trying to compromise the webs ervices.,"Hidden URLs or invisible links on the page that are not visible or accessible to the common user but that can be discovered by bots, scrapers, or attackers scanning for hidden content. Another idea is to use common URLs in hacking attempts, such as /config.json, as it is a common misconfiguration to leave the file public or accessible. Access attempts should be logged, monitored and blacklisted from further interaction with the web services in case the individuals try to access other legitimate resources.",Web services.,"Reconnaissance, Initial Access     ",50
"[CORPORATION,HONEYTOKEN,INSIDER_THREAT,DATA_LEAKS,SCI,IMPACT]",File Honeytoken.,Detect corporate information exfiltration. ,"Decoy file placed alongside other confidential files. Any interaction with the files, such as copying or deleting them, should be monitored and verified to ensure it is not an exfiltration. ",File directories or network shares. ,Exfiltration,70
"[CORPORATION,HONEYTOKEN,PHISHING,SPAMTRAP,INITIAL_ACCESS]",Spamtrap Honeytoken.,Detect spam and phishing attempts.,"A decoy email address and any source interacting with it should be blacklisted as it is likely to be unwanted communications such as spam or phishing. It could be an old, unused real address or one embedded in web resources visible only to bots and crawlers.",Mail services.,"Reconnaissance, Initial Access     ",50
"[CORPORATION,LOW_INTERACTION,MAILSERVER,ON_PREM,PHISHING,INITIAL_ACCESS]",Mail server spam trap low-interaction honeypot.,Detect spam and phishing attempts.,"Deploy a SMTP server simulation that blacklists any interaction. It does not need to process or deliver any mail, and it terminates connections with an error message, preventing attackers from further interaction. It can monitor decoy email addresses, for example, abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ","On-premise, in the DMZ. It must be isolated from the actual mail server so it is not exposed to legitimate traffic.","Reconnaissance,  Resource Development, Initial Access     ",50
"[CORPORATION,LOW_INTERACTION,MAILSERVER,CLOUD,PHISHING,INITIAL_ACCESS]",Mail server spam trap low-interaction honeypot.,Detect spam and phishing attempts.,"Deploy a SMTP server simulation that blacklists any interaction. It does not need to process or deliver any mail, and it terminates connections with an error message, preventing attackers from further interaction. It can monitor decoy email addresses, for example, abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ",Cloud-based VM within an isolated VPC/VNet subnet (isolated from the production mail system).  ,"Reconnaissance,  Resource Development, Initial Access     ",50
"[CORPORATION,LOW_INTERACTION,REMOTE_ACCESS,CLOUD,INITIAL_ACCESS]",Remote access server low-interaction honeypot.,Detect attackers trying to establish unauthorised remote connections.,"A simulation of a remote access server/service that logs connection attempts, usernames, and passwords. It listens on the ports used by RDP, SSH, or any similar technology in your environment. The honeypot could mimic an authentication process but must always fail the login attempts and terminate the connection. No legitimate interaction is expected, so request sources must be logged, investigated, and prevented from accessing real resources. ","Cloud deployment, if other VMs are accessible via RDP, it could reside in the same network zone but isolated from other resources via subnetting. ","Reconnaissance, Initial Access, Credential Access",50
"[CORPORATION,LOW_INTERACTION,REMOTE_ACCESS,ON_PREM,INITIAL_ACCESS]",Remote access server low-interaction honeypot.,Detect attackers trying to establish unauthorised remote connections.,"A simulation of a remote access server/service that logs connection attempts, usernames, and passwords. It listens on the ports used by RDP, SSH, or any similar technology in your environment. The honeypot could mimic an authentication process but must always fail the login attempts and terminate the connection. No legitimate interaction is expected, so request sources must be logged, investigated, and prevented from accessing real resources. ","On-premise, in the DMZ. It should be isolated from the internal network and other resources in the DMZ. ","Initial Access, Credential Access",50
"[CORPORATION,LOW_INTERACTION,LATERAL_MOVEMENT,EMPLOYEE_ENDPOINT,REMOTE_ACCESS,MISCONFIGURATION]",RDP low-interaction honeypot.,Detect insiders trying to establish unauthorised RDP connections. It is a common method used for lateral movement once the attacker is inside the network. ,"Simulation of an endpoint that left RDP services open, which is a frequent lateral movement vector. It logs connection attempts, usernames, and passwords. It listens on the RDP port (3389) and mimics the log-in interface, but it always fails to log in and ends the connection. Request sources should be isolated and investigated, as an attacker could have compromised them.","Inside the corporate network, where other endpoint reside and isolated from other resources via subnetting. ",Lateral Movement,50
"[CORPORATION,LOW_INTERACTION,WEB_SERVICES,MISCONFIGURATION,INITIAL_ACCESS]",API low-interaction honeypot.,Detect attackers trying to compromise the web services. ,"A decoy endpoint in the API of the web services. It could be named /admin or something similar in order to attract attackers. Moreover, it could provide attackers with a fake login screen that never allows access while monitoring login attempts of potential intruders, alerting and preventing them from breaching real resources.",In the web services' API.,"Reconnaissance , Initial Access, Credential Access",50
"[CORPORATION,LOW_INTERACTION,VULNERABILITY,LATERAL_MOVEMENT,ON_PREM]",Vulnerable internal server low-interaction honeypot.,Detect attackers trying to compromise servers in the inner network. ,"A server that simulates a vulnerable version of a service in order to attract attackers. It is recommended to choose one service that is present in the real environment. An example would be a computer that simulates FTP services vulnerable to a disclosed/known vulnerability. Request sources should be isolated and investigated, as they could have been compromised by an attacker.","Inside the corporate network, isolated from other resources via subnetting. ","Priviledge Escalation, Lateral Movement",50
"[CORPORATION,LOW_INTERACTION,VULNERABILITY,LATERAL_MOVEMENT,CLOUD]",Vulnerable internal server low-interaction honeypot.,Detect attackers trying to compromise servers in the inner network. ,"A server that simulates a vulnerable version of a service in order to attract attackers. It is recommended to choose one service that is present in the real environment. An example would be a computer that simulates FTP services vulnerable to a disclosed/known vulnerability. Request sources should be isolated and investigated, as they could have been compromised by an attacker.","Cloud deployment, isolated from other resources via subnetting (VPC/Vnet).",Lateral Movement,50
"[CORPORATION,LOW_INTERACTION,MISCONFIGURATION,ON_PREM,INITIAL_ACCESS]",Misconfigured IoT device low-interaction honeypot.,Detect attackers trying to compromise IoT. ,"A simulation of a misconfigured IoT device that is commonly found in your organization's network environment. Some common IoT vulnerabilities include default passwords, excessive port exposure, and open administrative interfaces. The honeypot could, for example, mimic the web login interface of a CCTV camera or a printer with unnecessary open ports, attracting attackers attempting to exploit these weaknesses. In any case, no legitimate interaction is expected with the device, so any interaction source should be logged, investigated and prevented from being capable of reaching other resources.","DMZ or Inner corporate network. Regardless, it should be isolated via subnetting from other resources. ","Initial Access, Credential Access, Lateral Movement",50
"[CORPORATION,HIGH_INTERACTION,VULNERABILITY]",Vulnerable device high interaction honeypot. ,Detect attackers trying to exploit vulnerabilities inside the network. ,"A computer/server that is running a legacy OS and, consequently, is vulnerable to known vulnerabilities. This system may lack critical security updates and patches, making it an attractive target for attackers that have achieved to breach the network and are looking to escalate privileges. For example, a Windows XP with known vulnerabilities in the SMB protocol. It is crucial to properly monitor and isolate the machine from the rest of the network systems to prevent attackers from pivoting to other resources if they compromise the honeypot. The machine should log all interaction attempts, detect exploitation attempts of its vulnerabilities, and raise an alarm when detecting attackers. ","Inside the corporate network, isolated from other resources via subnetting. ","Lateral Movement, Execution, Privilege Escalation",50
