Tags,QuestionActive,EnableQuestionTags,Questions,Answer,AddPointsHoneypotTags,PointsToAdd,SubstractPointsHoneypotTags,PointsToSubstract
,TRUE,,How many employees does the organization have?,1. Between 1 and 9 employees.,[LOW_INTERACTION],10,,
,,,,2. Between 50 and 249 employees.,"[CORPORATION,PII],[CORPORATION,INSIDER_THREAT]",10,,
,,,,3. More than 250 employees.,"[CORPORATION,PII],[CORPORATION,INSIDER_THREAT],[CORPORATION,PHISHING],[HONEYNET]",10,,
,TRUE,[1],Is your company directly involved in energy production and distribution?,"1. Yes, we produce and/or distribute energy. ",,,,
,,,,"2. No, we are dedicated to market, operations and service providers. ",,,,
[3],FALSE,[ICS],Does your organization use Distributed Energy Resources (DER) to generate Energy?,1. We are centralized energy productors/distributors. ,,,,
,,[DER],,2. Our organization only uses DER to generate energy.,,,,
,,"[DER],[ICS]",,3. We employ large-scale centralized generation facilities as well as DER.  ,,,,
,TRUE,,What infrastructure model does your organization follow?,1. Fully Cloud.,,,"[CORPORATION,ON_PREM]",10
,,,,2. On-Premise.,,,"[CORPORATION,CLOUD]",10
,,,,3. Hybrid.,,,"[CORPORATION,CLOUD]",10
,TRUE,,What email services does your company employ?,1. Free email services.,"[CORPORATION,SPAMTRAP]",10,,
,,,,2. Own email server.,"[CORPORATION,MAILSERVER]",10,,
,,,,3. Email-as-a-Service.,"[CORPORATION,SPAMTRAP]",10,,
,,,,3. We do not use mail services.,,,"[CORPORATION,PHISHING]",10
,TRUE,,Do your employees own work devices?,1. Yes.,"[CORPORATION,EMPLOYEE_ENDPOINT]",10,,
,,,,"2. No, they use their personal devices.","[CORPORATION,REMOTE_ACCESS]",10,,
,TRUE,,Do your employees remotely access the organization's resources?,1. Through a secure access method.,,,,
,,,,2. Directly over the internet.,"[CORPORATION,REMOTE_ACCESS]",10,,
,,,,3. Employees cannot access remotely.,,,"[CORPORATION,REMOTE_ACCESS]",10
,TRUE,,Does your organization monitor unauthorized access by employees or contractors?,"1. Yes, we have an insider risk management program and employ strong controls, like RBAC and the least privileged access.","[CORPORATION,INSIDER_THREAT]",10,,
,,,,"2. No, we do not.",,,,
