Tags,Type,Objective,Description,Location,Mitre,InitialScore
"[CORPORATION,HONEYTOKEN,RANSOMWARE,DATA_LEAKS,IMPACT]",File honeytoken.,Detect ransomware execution.,Hidden files (so they are not accessed by users) scattered in various locations. The files should be named in a way that they are the first files in the directory. Any interaction with the files should be monitored and the process that accessed the files stopped. ,File directories or network shares. ,"Exfiltration, Impact",10
"[CORPORATION,HONEYTOKEN,DATABASE_EMPLOYEE,DATA_LEAKS,IMPACT]",Database honeytoken.,Detect employee-sensitive information exfiltration. ,A decoy entry added to an employee database. It should mimic real employee data. Any interaction with the entry should raise an alarm. ,Inside a database.,Exfiltration,10
"[CORPORATION,HONEYTOKEN,DATABASE_CUSTOMER,DATA_LEAKS,INSIDER_THREAT,IMPACT]",Database honeytoken.,Detect customer-sensitive information exfiltration. ,"A decoy entry added to an employee database. It should mimic real customer data, such as PII or sector-specific data like energy consumption data. ",Inside a database.,Exfiltration,10
"[CORPORATION,HONEYTOKEN,LATERAL_MOVEMENT]",User honeytoken.,Detect threat actors inside the network performing lateral movement. ,"A decoy user. The username must entice the attacker's interaction, it could be named like  ""db_admin"" or similar. Any logging attempt must be monitored and the source blocked.",Directory services.,Lateral Movement,10
"[CORPORATION,HONEYTOKEN,WEB_SERVICES,INITIAL_ACCESS]",URL honeytoken.,Detect threat actors trying to compromise the webs ervices.,"Hidden URLs or invisible links on the page that are not visible or accessible to the common user, only to bots, scrapers, or attackers scanning for hidden content. Any access attempt should be blocked from accessing real resources.",Web services.,"Reconnaissance, Initial Access ",10
"[CORPORATION,HONEYTOKEN,INSIDER_THREAT,DATA_LEAKS,SCI,IMPACT]",File honeytoken.,Detect corporate information exfiltration. ,"A decoy file placed alongside other confidential files. Any interaction with the files should be monitored and verified, in order to make sure it is not an exfiltration. ",File directories or network shares. ,Exfiltration,10
"[CORPORATION,HONEYTOKEN,PHISHING,SPAMTRAP,INITIAL_ACCESS]",Spamtrap honeytoken.,Detect spam and phishing attempts.,"A decoy email address. Any source interacting with it should be blacklisted. It could be an old, unused real address or one embedded in a web resource visible only to bots and crawlers.",Mail services.,"Reconnaissance, Initial Access ",10
"[CORPORATION,LOW_INTERACTION,MAILSERVER,ON_PREM,PHISHING,INITIAL_ACCESS]",Mail server spam trap low-interaction honeypot.,Detect spam and phishing attempts.,"Deploy a SMTP server simulation that blacklists any interaction. It does not need to process or deliver any mail, and it terminates connections with an error message, preventing attackers from further interaction. It can monitor decoy email addresses, for example, abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ","On-premise, in the DMZ. It must be isolated from the actual mail server so it is not exposed to legitimate traffic.","Reconnaissance, Resource Development, Initial Access ",10
"[CORPORATION,LOW_INTERACTION,MAILSERVER,CLOUD,PHISHING,INITIAL_ACCESS]",Mail server spam trap low-interaction honeypot.,Detect spam and phishing attempts.,"Deploy a SMTP server simulation that blacklists any interaction. It does not need to process or deliver any mail, and it terminates connections with an error message, preventing attackers from further interaction. It can monitor decoy email addresses, for example, abandoned addresses that are no longer in use or addresses hidden on websites that would only be visible to bots. ",Cloud-based VM within an isolated VPC/VNet subnet (isolated from the production mail system).  ,"Reconnaissance, Resource Development, Initial Access ",10
"[CORPORATION,LOW_INTERACTION,DATABASE_EMPLOYEE,DATABASE_CUSTOMER,DATA_LEAKS,LATERAL_MOVEMENT,ON_PREM]",Database low-interaction honeypot,Detect intruders trying to breach a database.  ,"Decoy database simulation (no actual data) that will attract attackers looking for misconfigured or vulnerable databases, alerting and preventing them from breaching the actual databases. A recommendation is to choose a honeypot that best mimics your real configuration. For example, if you use an SQL Server, the honeypot will expose port 1433.","Inside the corporate network, preferably isolated. ",Lateral Movement,10
"[CORPORATION,LOW_INTERACTION,DATABASE_EMPLOYEE,DATABASE_CUSTOMER,DATA_LEAKS,LATERAL_MOVEMENT,CLOUD]",Database low-interaction honeypot,Detect intruders trying to breach a database.  ,"Decoy database simulation (no actual data) that will attract attackers looking for misconfigured or vulnerable databases, alerting and preventing them from breaching the actual databases. A recommendation is to choose a honeypot that best mimics your real configuration. For example, if you use an SQL Server, the honeypot will expose port 1433.","Cloud deployment. If there are applications that use real databases, the honeypot should reside in the same network zone but be isolated using subnetting.",Lateral Movement,10
